busNum,00시승차총승객수,1시승차총승객수,2시승차총승객수,3시승차총승객수,4시승차총승객수,5시승차총승객수,6시승차총승객수,7시승차총승객수,8시승차총승객수,9시승차총승객수,10시승차총승객수,11시승차총승객수,12시승차총승객수,13시승차총승객수,14시승차총승객수,15시승차총승객수,16시승차총승객수,17시승차총승객수,18시승차총승객수,19시승차총승객수,20시승차총승객수,21시승차총승객수,22시승차총승객수,23시승차총승객수,AllPassengers,지나는 지역구 거주민 평균 (반올림),지나는 지역구 거주민 합,노선별 겹치는 노선 수,환승 비율 총 승객수,총승객수/거리,배차간격
333,2495,271,0,0,1001,3645,8931,20771,25322,17745,12838,12545,14674,15577,16101,20099,22971,25349,24791,18202,13585,15339,18568,7027,317847,"603,327","1,206,653",24,"232,182",6835.419,11
340,3675,252,0,0,1781,7944,18109,47791,58566,39202,27208,27126,31805,33864,33652,38040,48716,50689,55517,42905,31618,33795,38222,14584,685061,"525,143","2,100,571",12,"100,644",16668.15,7
341,6245,1131,6,0,1022,4496,10904,23259,28973,19400,13217,12481,13583,14627,15305,16935,17871,18649,20490,15033,12810,13360,14232,10027,304056,"525,143","2,100,571",15,"201,353",5693.933,13
342,1069,33,0,0,3089,4109,9643,22902,24805,19262,13404,12494,13763,14717,14393,16143,19555,22137,27010,19576,14144,13655,15172,5379,306454,"558,489","1,675,468",16,"160,761",6810.089,10
343,67,0,0,0,97,680,1834,3948,4619,2661,1772,1606,1893,2034,1832,2237,2740,3229,4724,3280,2002,2060,2365,905,46585,"603,327","1,206,653",12,"85,153",1933.87,15
350,1489,81,0,0,2146,3668,7359,23300,33270,22127,14012,12815,14751,15779,16149,17358,21378,22283,28832,18508,14010,14893,15771,4663,324642,"507,490","2,029,961",34,"264,160",6340.664,12
360,7196,1036,1,0,7241,9323,15490,43560,58485,41286,27121,27178,30263,33711,34135,37653,43613,49274,57732,40486,30863,32321,36808,12823,677599,"501,982","2,007,928",58,"916,751",12165.15,6
362,3569,1060,65,0,1165,3398,7696,23978,29617,20005,14816,15812,18683,20093,20478,23461,28309,31111,34093,22422,16822,16832,19370,8937,381792,"501,982","2,007,928",37,"620,034",6050.586,12
370,5349,67,0,0,8895,13086,21160,45324,55737,37523,32261,33447,34901,36300,36576,39473,44699,51492,57527,38684,29711,29166,28174,12118,691670,"259,491","1,297,457",39,"947,367",14202.67,6
400,952,21,0,0,640,2391,7965,22750,36084,23999,15204,16079,18573,20359,20840,22158,27148,30428,34185,23101,16375,16157,16655,4144,376208,"239,679","958,714",50,"924,938",7690.27,12
401,834,11,0,0,1582,3041,6886,20515,30251,18520,12240,13126,13640,14361,14221,15747,17911,19923,24998,16365,11604,11002,10990,3368,281136,"360,895","2,165,367",49,"377,206",5336.674,11
402,4142,1045,120,0,1114,3323,10360,26157,33820,25858,20468,21532,24595,25512,26057,28788,33229,35765,40803,28821,20955,22372,24293,8019,467148,"401,760","2,008,800",37,"744,271",8238.942,9
405,285,0,0,0,541,3257,5983,12968,22419,13107,8952,9799,10812,12043,12344,12941,14597,14325,15986,9724,7105,7249,7775,2353,204565,"267,382","802,147",45,"231,226",4659.795,15
406,654,10,0,0,988,1850,4525,13210,16627,9552,7817,7820,9070,10127,10275,10600,12361,13403,15157,9753,6547,6677,6270,2327,175620,"335,421","1,341,685",47,"276,910",4228.75,13
420,3184,192,0,0,2542,8685,15436,38220,50582,33135,23860,24972,29291,30902,30393,32703,40457,48068,52022,34676,24356,27875,30222,9061,590834,"299,446","1,796,673",46,"1,238,186",12788.61,9
421,2492,76,0,0,3339,7352,14319,39176,61070,40770,29133,27875,31976,33611,34500,38369,41835,45036,51476,35534,26601,29071,30915,7939,632465,"299,446","1,796,673",65,"994,297",11047.42,10
440,1702,115,0,0,1498,4212,11043,26275,31250,21072,14080,13733,15208,15427,15282,18410,23806,28921,34871,21764,14663,14314,15624,5646,348916,"546,109","1,092,218",32,"757,353",7120.735,10
441,1010,6,0,0,2042,5469,14413,30074,34538,21734,14887,13998,16625,17890,18298,20629,24040,32304,39813,24525,18385,18969,17832,6179,393660,"425,103","425,103",23,"718,596",6141.342,10
452,5504,2997,203,0,5416,6663,12379,27702,35956,25269,19476,20564,23345,24255,24175,28317,32034,36429,38954,25157,19142,20415,21073,10118,465543,"507,490","2,029,961",34,"855,904",7420.194,11
461,2653,110,0,0,2039,8024,13704,31762,39006,30240,22135,21911,26086,26566,27577,31069,37547,40979,44566,34003,27886,29520,29847,8913,536143,"489,529","2,937,171",33,"328,316",8550.925,11
463,626,0,0,0,2651,5824,11825,32388,48985,35850,20093,19766,21122,22636,22869,24621,25069,31209,39862,25497,18823,20810,18530,4824,453880,"363,009","2,178,056",42,"263,864",9169.293,10
470,1798,22,0,0,4601,7310,14223,33808,40435,26401,19039,19546,21075,22543,22483,22381,25696,34646,41309,24931,17914,18522,18807,5223,442713,"447,619","1,342,857",62,"1,527,457",7596.311,10
472,2044,49,0,0,2009,7222,12514,28408,38155,31948,22627,21564,24361,26146,26106,28298,31402,33835,37206,27232,23081,25232,25676,8249,483364,"323,700","1,294,798",52,"396,194",12190.77,7
500,2794,48,0,0,5538,6919,13265,33354,40382,23219,17063,17017,18484,18746,18923,22063,26808,31162,41596,28560,20810,21231,20800,6952,435734,"304,791","1,523,953",45,"863,780",9948.265,9
501,1,0,0,0,3618,6261,8251,18696,22287,15384,11396,11674,14111,14436,14304,16231,19289,21367,24987,17643,13405,14033,13099,3237,283710,"287,191","1,435,956",48,"949,414",9482.286,7
502,4951,1280,58,0,291,3106,7401,20226,24164,15659,12165,12270,13279,13875,14093,16471,19623,23350,27662,16901,13137,14308,14964,9013,298247,"300,088","1,200,352",30,"615,552",4013.551,15
503,206,0,0,0,1480,2588,4334,9492,12804,8458,6389,6487,7378,7832,8416,9010,9634,10734,12297,7967,6086,6837,6243,1507,146179,"301,697","1,206,789",38,"294,354",3248.422,14
504,1426,0,0,0,10826,15092,18704,37583,44066,28226,20145,21491,24275,25330,24067,26886,29430,32769,39957,29592,23166,25192,23106,7893,509222,"325,105","1,950,628",49,"861,484",11562.72,7
505,708,1,0,0,3895,7886,13907,28343,33557,22053,15735,15206,17403,18389,18119,20986,24363,29518,36284,22625,16874,15352,15302,4443,380949,"308,260","1,849,558",37,"307,673",6636.742,10
506,1352,0,0,0,1754,5628,10065,24393,26936,20184,16482,15470,18650,19917,21363,24743,27865,28037,30537,22519,17785,17230,18754,6356,376020,"287,191","1,435,956",38,"877,331",8526.531,11
507,2440,210,0,0,7154,8459,11110,25853,31613,19151,14556,13979,14922,15066,14767,17363,19969,24094,28177,20428,14103,15295,14761,5564,339034,"286,589","2,006,125",41,"749,588",6545.058,9
540,4704,1402,208,0,0,2963,10576,26010,32907,19698,15505,14294,15583,16713,18251,20456,25291,28348,31556,21740,16729,16219,17845,8386,365384,"411,654","823,308",17,"282,592",7040.154,12
541,4180,1031,16,0,308,4888,9098,19515,22015,12501,9019,8847,10468,11985,11694,13672,16313,17806,20968,14162,11395,11583,11525,7193,250182,"482,321","964,641",19,"174,975",4412.381,12
542,1660,645,38,0,861,2637,4067,10504,12701,7284,5350,5581,5900,6137,6315,7285,9475,13168,14186,8725,6433,6857,6501,3026,145336,"482,321","964,641",24,"640,792",2185.504,20
571,1558,25,0,0,2845,6113,12471,30122,33308,23962,17748,18584,21803,22759,23295,26894,30746,31594,31574,22103,18463,21225,24370,7607,429169,"397,016","1,985,081",29,"131,307",7440.517,11
600,3109,109,0,0,9566,10521,16220,36293,40516,25697,19529,19143,21082,22715,22769,26084,29825,34374,41927,28418,21231,20067,19883,7867,476945,"335,417","1,341,669",29,"266,197",12518.24,8
601,1225,5,0,0,4172,6597,12245,25220,34656,21403,16412,17305,19594,20304,20387,21134,24793,27044,30695,19867,16565,18644,17043,5253,380563,"333,618","1,334,470",48,"699,490",7356.718,9
602,761,0,0,0,2365,5957,11783,30654,34244,21264,16462,16985,18830,20248,19944,23186,27697,30975,39129,26776,19848,20492,20716,7091,415407,"307,732","1,846,394",39,"402,633",10524.63,9
603,1282,1,0,0,2413,4629,7707,18260,21451,16112,13329,14023,16635,17776,17782,20475,22370,22996,23467,16706,12682,12945,14401,4799,302241,"248,199","992,797",41,"266,047",8116.031,10
604,2661,96,0,0,5824,6183,8006,21018,25668,15284,12404,12831,13670,14556,14015,15388,18186,22156,26063,17887,13138,14811,15733,6133,301711,"359,424","2,515,967",43,"309,530",7132.648,13
605,1621,24,0,0,4740,4850,8251,21787,29825,17866,14649,16422,18398,19591,19080,22168,24981,29158,36323,23654,18007,18144,18411,5320,373270,"416,687","2,083,434",35,"658,442",6514.311,8
606,1585,64,0,0,2871,5440,9717,21490,25499,16186,13246,13138,13941,15058,15595,17407,20430,22208,23534,15427,12597,13257,12782,4784,296256,"382,582","2,295,490",30,"487,187",4709.952,18
640,1082,1,0,0,4928,9780,9294,19683,22219,15146,12287,12667,14323,16077,15279,16441,18421,20460,22760,16796,12879,12041,12498,4446,289508,"444,387","2,221,935",44,"393,970",7267.862,10
641,1933,2,0,0,7511,13344,19588,46568,58807,34722,22654,19915,22184,24202,27030,32021,36711,43980,55561,37702,27646,26959,29327,10594,598961,"432,630","1,730,518",40,"376,739",14401.56,6
643,2578,0,0,0,3341,9358,17024,36449,39330,30576,23372,24674,28046,29452,28641,32711,38806,40008,43065,32642,26936,28303,29958,10792,556062,"428,190","2,569,141",27,"367,574",12356.93,10
650,1053,0,0,0,5157,7686,9874,25616,30587,18465,14038,13672,15006,16397,15931,17925,19998,21657,27103,18965,14707,15312,15497,5223,329869,"468,848","2,344,238",33,"378,566",7765.278,9
651,1441,22,0,0,3722,9340,15692,28142,26588,21646,16911,16462,17563,19181,19466,22575,26051,26013,30946,23500,19402,18694,16902,6831,387090,"442,840","2,214,202",17,"178,075",7516.311,11
652,3165,219,0,0,4931,12124,17969,38013,39010,26216,18980,18953,20652,21213,22784,26477,30669,30932,36160,28838,22539,21281,20584,9539,471248,"427,516","1,710,062",16,"165,501",9838.163,13
653,253,0,0,0,861,4152,6291,10284,10151,7232,5119,4802,5019,5477,4911,5218,7284,8142,10029,8151,6283,6813,5868,2524,124864,"427,796","1,283,387",12,"107,525",4472.206,19
654,1167,10,0,0,3654,6641,10115,24512,28137,19432,14649,14675,15526,16407,16146,18922,21744,23953,28555,18979,13975,14916,15353,4636,332104,"453,355","2,266,773",25,"209,247",7463.011,13
660,619,8,0,0,2336,2467,5502,15966,18563,9223,7029,6795,7856,8210,8050,8971,9842,11187,15648,11523,8374,8278,7291,2604,176342,"470,850","1,412,549",20,"129,680",3845.225,15
661,1902,387,0,0,1240,3411,5902,16644,19225,10719,8593,9160,10109,11900,11551,13445,15258,17325,19694,12655,9484,9643,9215,4286,221748,"480,631","1,441,893",19,"183,162",4169.763,20
662,406,0,0,0,3772,5284,5860,13850,14745,7427,5155,5684,6571,6963,7218,9461,11521,9678,11432,8091,6974,5804,6073,2196,154165,"467,142","1,868,568",19,"174,680",4166.622,15
672,396,0,0,0,351,2158,4250,8894,12085,7146,5274,5244,6088,6501,6711,7769,8773,9601,12887,7603,5442,5881,5329,2136,130519,"433,963","1,735,853",25,"305,120",3346.641,15
673,1082,29,0,0,919,3920,8542,18020,18446,11962,7634,7639,9069,9412,9277,10949,11891,15320,18204,12868,9940,9435,8972,3631,207161,"433,963","1,735,853",24,"351,970",4061.98,18
674,70,0,0,0,1410,3019,3556,7483,10605,6364,4432,4095,5035,5517,5587,6331,7679,8034,9423,5802,4659,4497,4982,1429,110009,"427,785","2,138,923",27,"240,265",3928.893,15
700,4123,1721,240,0,598,3855,9053,21312,24580,14121,11030,11413,12849,13332,13381,15631,19620,23447,24244,15211,11325,11549,12639,6104,281378,"272,174","1,088,696",43,"506,009",4541.285,11
701,575,0,0,0,3428,5613,7873,15866,18528,12052,9948,9450,10196,10498,10718,13337,15158,15463,17014,11527,8278,8352,7942,2978,214794,"272,174","1,088,696",50,"637,444",5593.594,11
704,306,0,0,0,1753,4539,8421,18587,22730,18361,16224,12750,12414,12516,14410,16245,19573,19172,22251,15430,12089,11577,10404,3536,273288,"272,174","1,088,696",43,"570,814",5032.928,12
